"Species","n","model","aic","intercept","road","forest","roadforest"
"DEJU",64740,4,277857.087799219,4.16239917558065,-0.152394653468333,-0.0884539020932742,NA
"DEJU",64740,5,277851.887976645,4.16025162650114,-0.133204029603996,-0.0845149722346501,-0.0352379664046159
"DICK",4232,1,27822.8119097516,4.67383066207794,NA,NA,NA
"DICK",4232,2,27271.9457444878,4.74137312181182,-0.378346738365998,NA,NA
"DICK",4232,3,27799.7396863213,4.65698394707149,NA,0.0937051744949333,NA
"DICK",4232,4,27271.9630124151,4.73595232833901,-0.37451875072975,0.0268220070293962,NA
"DICK",4232,5,27243.2314580613,4.74244611583736,-0.399320462253517,-0.00463610331332037,0.434986961995112
"DOWO",17441,1,42486.5246407802,4.00956269057663,NA,NA,NA
"DOWO",17441,2,42478.7316652482,4.01660379618072,-0.0345108602113568,NA,NA
"DOWO",17441,3,41581.9136350817,4.17325113169283,NA,-0.311743787172859,NA
"DOWO",17441,4,41551.6678431502,4.1898307199015,-0.0624533750511714,-0.318048587797176,NA
"DOWO",17441,5,41552.484886512,4.18649612439582,-0.0464808893336389,-0.312678163434696,-0.0316863167456111
"DUFL",18251,1,72040.6992744686,4.22865546011897,NA,NA,NA
"DUFL",18251,2,71942.6382631359,4.24484408319424,-0.100132513123736,NA,NA
"DUFL",18251,3,72013.8640264342,4.25327951568368,NA,-0.04533118465483,NA
"DUFL",18251,4,71923.0094165981,4.26568799988689,-0.0965245606215308,-0.0395028236880189,NA
"DUFL",18251,5,71918.415511258,4.26994725037063,-0.137289632302576,-0.0474758210528329,0.0673771793365495
"DUGR",366,1,1829.66548472566,4.54664568916038,NA,NA,NA
"DUGR",366,2,1827.61288739258,4.53269054645452,0.309277794624492,NA,NA
"DUGR",366,3,1829.79206272695,4.51207842446052,NA,0.093347816194229,NA
"DUGR",366,4,1827.98953930523,4.50095715515276,0.300607027083107,0.0869895995174443,NA
"DUGR",366,5,1829.36730036914,4.50424849050117,0.165603199101807,0.0778032681752764,0.339176056506475
"EABL",4510,1,13724.9732541258,4.32344964294337,NA,NA,NA
"EABL",4510,2,13522.7153515519,4.42197654512986,-0.247751617566432,NA,NA
"EABL",4510,3,13498.0972490524,4.43005116985526,NA,-0.311562847802171,NA
"EABL",4510,4,13130.542299243,4.61939696162726,-0.354706115172993,-0.446264172015478,NA
"EABL",4510,5,13131.9678055258,4.61391825552938,-0.342933181479764,-0.436091126889087,-0.0381474369529276
"EAKI",7337,1,22784.0902552412,4.35322998487936,NA,NA,NA
"EAKI",7337,2,22000.5779662384,4.47980989146957,-0.367500289575315,NA,NA
"EAKI",7337,3,22783.954538607,4.35873106861903,NA,-0.0243621851456913,NA
"EAKI",7337,4,21948.2048780165,4.51838322522346,-0.389603861960602,-0.132864217902714,NA
"EAKI",7337,5,21950.1861337183,4.51812862536658,-0.388865869096465,-0.13163393005103,-0.0064302003920409
"EAME",5876,1,19963.2161727112,4.74039220282228,NA,NA,NA
"EAME",5876,2,18078.0928184493,4.94216624568699,-0.651065993694684,NA,NA
"EAME",5876,3,19787.4890663148,4.6943833324435,NA,0.303507610139404,NA
"EAME",5876,4,18052.7612636123,4.91664062515492,-0.633994900780881,0.129747957304698,NA
"EAME",5876,5,18040.6208067596,4.92383840413446,-0.655198096262969,0.0910636421419565,0.282290550461976
"EAPH",4368,1,9821.49931032663,4.30114144335327,NA,NA,NA
"EAPH",4368,2,9804.10176165838,4.33531412111417,-0.0819018992776039,NA,NA
"EAPH",4368,3,9135.04091973053,4.550368613279,NA,-0.587766762199585,NA
