"Species","n","model","aic","intercept","tssr","tssr2","od","od2"
"CERW",807,7,1789.20403043356,-1.26419026952448,0.0765706894157055,NA,3.61170118156951,-86.1783446655901
"CERW",807,8,1793.44802176604,-1.29320989597158,0.0717279026516635,-18.7621728526845,2.47745185709468,NA
"CERW",807,9,1792.94513869528,-1.32479148791451,0.138094491795662,0.770521321674704,1.91677617172856,-46.7575986932817
"CHRA",225,1,1262.51380274583,-2.28765571474943,NA,NA,NA,NA
"CHRA",225,2,1264.38073331623,-2.22600998888739,NA,NA,3.74976941206736,NA
"CHRA",225,3,1266.22526230118,-2.28542893593526,NA,NA,12.2421238898655,178.062778299967
"CHRA",225,4,1261.98288291083,-2.40017988766632,8.47241096103375,NA,NA,NA
"CHRA",225,5,1263.48784707427,-2.3099353756004,13.3447827973172,-83.6780966501099,NA,NA
"CHRA",225,6,1263.65301604997,-2.33348042658963,8.90108813908031,NA,4.77230909943007,NA
"CHRA",225,7,1265.34538361799,-2.29536519507833,11.2392309241644,NA,-6.23700279660182,-272.799466701176
"CHRA",225,8,1265.61259230771,-2.32577384947633,9.11550087428071,-3.66730402845512,4.85683897354535,NA
"CHRA",225,9,1267.24864698116,-2.26428399054808,13.2512004307127,-74.5467478112425,2.88457561944082,-19.9630850488737
"CHSP",24217,1,60798.6677293942,-1.36023308447832,NA,NA,NA,NA
"CHSP",24217,2,60786.639694918,-1.35911833422567,NA,NA,1.08500216650507,NA
"CHSP",24217,3,60786.5588969537,-1.34923238596083,NA,NA,1.0099448207661,-7.00008647100046
"CHSP",24217,4,60793.9362243018,-1.35843959156035,-0.493155640537858,NA,NA,NA
"CHSP",24217,5,60795.7731558946,-1.36157850760281,-0.523977422815696,1.03660888479518,NA,NA
"CHSP",24217,6,60780.7276268448,-1.35696916408144,-0.538341755063309,NA,1.12686012069989,NA
"CHSP",24217,7,60780.2850389691,-1.34630418493985,-0.557362144861156,NA,1.05410170453286,-7.61944721323128
"CHSP",24217,8,60782.3823927199,-1.36165312715387,-0.574091169665612,1.44689947439977,1.13798751461077,NA
"CHSP",24217,9,60784.3658695165,-1.36151835986114,-0.577747134571208,1.42894437384729,1.14823391971045,-0.0287791605859461
"CHSW",2915,1,10917.3954995732,-2.10630736863474,NA,NA,NA,NA
"CHSW",2915,2,10914.5281243161,-2.1151794947192,NA,NA,1.8040015479201,NA
"CHSW",2915,3,10911.6493035516,-2.09124570181025,NA,NA,4.60432381895689,-17.0159976263219
"CHSW",2915,4,10919.159481225,-2.11277789370478,0.399858442365555,NA,NA,NA
"CHSW",2915,5,10920.1938977491,-2.08972742558167,0.966514896259097,-9.38394470805292,NA,NA
"CHSW",2915,6,10916.4015541199,-2.1200203035433,0.301458400230477,NA,1.78732443908897,NA
"CHSW",2915,7,10913.5350827664,-2.09542381424038,0.275496840616309,NA,4.59196655232229,-17.0232883364261
"CHSW",2915,8,10917.6818680202,-2.09914706694429,0.7827882649374,-8.2432448982612,1.72618476354892,NA
"CHSW",2915,9,10914.5593813937,-2.07189194369908,0.750288288563397,-8.55720084508693,4.6744585710913,-17.8220238475241
"CLNU",757,1,2900.58903283184,-1.08892195364184,NA,NA,NA,NA
"CLNU",757,2,2891.87116197242,-1.12838356422849,NA,NA,6.49927301958009,NA
"CLNU",757,3,2894.10080970772,-1.12038452549011,NA,NA,6.32414425621057,-2.0312427098761
"CLNU",757,4,2900.42568706448,-1.09565686619663,-2.08038283633492,NA,NA,NA
"CLNU",757,5,2899.8015857712,-0.991686527537625,-1.94860475452021,-57.3401799825759,NA,NA
"CLNU",757,6,2889.7290872397,-1.15308534175605,-2.99192926513336,NA,6.88200574538967,NA
