Species,d_model,d_n,d_int,d_roaddist,d_forest,d_roaddistforest,logtau
SSHA,3,167,3.961367519,NA,0.342393998,NA,NA
STFL,2,436,4.3853046,0.000217787,NA,NA,NA
STGR,2,643,4.83362766,7.57E-06,NA,NA,NA
STJA,1,5144,4.689509793,NA,NA,NA,NA
SUTA,1,2272,4.049710202,NA,NA,NA,NA
SWHA,1,1084,5.427494098,NA,NA,NA,NA
SWSP,4,5903,4.455301061,3.30E-06,-0.664057718,NA,NA
SWTH,5,34306,4.237421123,1.64E-05,-0.000827224,-2.47E-05,NA
SWWA,1,159,4.169691022,NA,NA,NA,NA
TEWA,5,26607,3.990530366,5.48E-06,0.004655167,-9.03E-06,NA
TOSO,1,6125,4.642499605,NA,NA,NA,NA
TOWA,5,6479,4.07215604,-8.74E-06,-0.042681431,-3.15E-05,NA
TRES,2,6732,4.003991799,1.87E-06,NA,NA,NA
TUTI,3,4616,4.357203282,NA,-0.200813705,NA,NA
TUVU,2,2484,4.969341526,-5.31E-05,NA,NA,NA
UNFL,1,796,4.132722932,NA,NA,NA,NA
UPSA,5,4780,4.978962548,4.20E-06,0.148481161,4.22E-05,NA
VASW,3,91,3.843669732,NA,0.362002864,NA,NA
VATH,4,3509,4.819381159,-9.08E-06,-0.298271873,NA,NA
VEER,3,15269,5.202360945,NA,-1.382375465,NA,NA
VERD,1,402,4.202682668,NA,NA,NA,NA
VESP,2,27090,4.748572576,1.91E-06,NA,NA,NA
VGSW,2,5923,4.223280218,-1.70E-05,NA,NA,NA
VIWA,1,2447,4.178127845,NA,NA,NA,NA
WAVI,5,22267,4.301618218,3.53E-06,-2.52E-05,-3.27E-05,NA
WBNU,2,7259,4.338886432,2.92E-06,NA,NA,NA
WCSP,4,5691,4.499415201,-4.90E-06,0.04927225,NA,NA
WEBL,1,2107,4.221339079,NA,NA,NA,NA
WEFL,3,171,3.861730617,NA,0.288722285,NA,NA
WEGR,5,62,5.123250746,0.003151726,0.224014587,-0.003435176,NA
WEKI,1,5521,4.583385356,NA,NA,NA,NA
WEME,4,67808,5.148429657,1.27E-06,0.159174904,NA,NA
WETA,4,30070,4.554845463,-1.54E-05,-0.202848135,NA,NA
WEVI,1,4227,4.041980909,NA,NA,NA,NA
WEWA,1,135,3.763436825,NA,NA,NA,NA
WEWP,2,12566,4.694897084,-2.43E-05,NA,NA,NA
WFIB,5,136,4.638917758,0.000954137,-0.272984802,-0.000857409,NA
WHIB,5,93,4.607744861,9.72E-07,0.268535006,-0.440041881,NA
WIFL,5,971,4.103117145,1.26E-06,0.124201571,0.000237826,NA
WILL,3,969,5.100756807,NA,-0.284633683,NA,NA
WIPH,3,420,4.412570788,NA,0.385956939,NA,NA
WISA,1,615,4.28861681,NA,NA,NA,NA
WISN,4,4793,4.68560662,2.92E-06,-0.391059166,NA,NA
WITU,2,1761,5.017324178,3.05E-05,NA,NA,NA
WIWA,5,2920,3.928822138,2.43E-06,-5.83E-05,-8.94E-06,NA
WIWR,4,17178,4.554363695,1.03E-05,-0.554398875,NA,NA
WODU,3,250,4.655238116,NA,-0.46870644,NA,NA
WOSJ,1,3048,4.648165827,NA,NA,NA,NA
WOTH,4,4207,4.554146998,8.30E-06,-0.496673798,NA,NA
WTPT,1,93,4.456633865,NA,NA,NA,NA
WTSP,3,49198,5.004673092,NA,-0.957327038,NA,NA
WTSW,2,1228,4.650013064,4.69E-05,NA,NA,NA
WWCR,5,1984,3.9032511,6.81E-06,-0.024234996,-8.81E-06,NA
WWDO,1,434,4.642076412,NA,NA,NA,NA
WWJU,1,566,3.985640774,NA,NA,NA,NA
YBCH,5,5956,4.602040036,-5.33E-07,-7.20E-06,0.000166457,NA
YBCU,2,3286,4.641523224,2.93E-06,NA,NA,NA
YBFL,5,5395,4.377392326,5.64E-06,-0.495793107,-7.83E-06,NA
YBSA,4,13900,4.837169262,3.39E-06,-0.844773109,NA,NA
YEWA,5,18517,4.146478017,1.95E-06,-0.095164876,-3.50E-06,NA
YHBL,2,1092,4.634890328,1.93E-06,NA,NA,NA
YRWA,5,65055,4.117302354,5.33E-06,-0.079550515,-6.04E-06,NA
YSFL,1,51,4.149681951,NA,NA,NA,NA
YTVI,4,1339,4.562102184,3.59E-06,-0.529916419,NA,NA
YTWA,1,125,4.321897625,NA,NA,NA,NA
YWAR,3,1481,4.44448291,NA,-0.232011438,NA,NA
