Species,r_model,r_n,r_int,r_roaddist,r_forest,r_roaddistforest
LUWA,1,295,-1.068121598,NA,NA,NA
MAGO,1,993,-1.362098829,NA,NA,NA
MALL,1,3242,-2.09519997,NA,NA,NA
MAWA,2,9067,-1.271773254,-1.96E-06,NA,NA
MAWR,3,735,-1.052092058,NA,0.639681248,NA
MCLO,1,1759,-1.104370876,NA,NA,NA
MEJA,4,148,-0.576635807,-0.000571404,-0.608273314,NA
MERL,3,64,-1.119622001,NA,-4.296713674,NA
MGWA,4,6706,-0.853295096,-9.33E-05,-0.481963324,NA
MIKI,1,251,-1.915447608,NA,NA,NA
MOBL,1,8076,-1.527472287,NA,NA,NA
MOCH,3,21149,-1.09525949,NA,-0.085248887,NA
MODO,4,45744,-1.228652045,-6.74E-07,0.111148398,NA
MOPL,1,199,-1.131300928,NA,NA,NA
MOWA,2,7180,-1.195864599,-7.79E-07,NA,NA
MWCS,1,666,-0.69240733,NA,NA,NA
MYWA,1,440,-1.751345337,NA,NA,NA
NAWA,4,18267,-1.063739493,-5.27E-07,-0.142658905,NA
NESP,3,68,-2.109180011,NA,1.997096342,NA
NOBO,1,2798,-0.779822633,NA,NA,NA
NOCA,4,12408,-0.619812396,-1.72E-06,0.142083609,NA
NOFL,2,19528,-1.611209485,-6.68E-06,NA,NA
NOGO,3,91,-0.988490825,NA,-2.368394395,NA
NOHA,1,1104,-2.358741121,NA,NA,NA
NOMO,1,11762,-0.627786143,NA,NA,NA
NOPA,2,4584,-1.242435845,-1.85E-06,NA,NA
NOPI,2,359,-1.61266116,-0.00132987,NA,NA
NOPO,1,111,-1.211152946,NA,NA,NA
NOWA,1,2833,-1.50419067,NA,NA,NA
NRWS,4,1314,-0.344896889,-0.015715694,-1.362689,NA
NSHO,1,536,-1.275658198,NA,NA,NA
OCWA,3,4188,-1.042049025,NA,-0.345443092,NA
OLWA,1,84,-2.247366392,NA,NA,NA
ORJU,1,520,-1.328603244,NA,NA,NA
OROR,3,1566,-1.658167248,NA,0.586880219,NA
OSFL,4,3814,-0.933748811,-2.60E-06,-0.330088364,NA
OSPR,1,176,-1.680566193,NA,NA,NA
OVEN,4,38580,-1.050570719,3.27E-07,0.182048719,NA
PABU,1,753,-0.694916982,NA,NA,NA
PAWA,1,2271,-1.181974224,NA,NA,NA
PAWR,1,1764,-0.507484476,NA,NA,NA
PBGR,1,236,-2.596229017,NA,NA,NA
PEFA,1,93,-1.856253157,NA,NA,NA
PHAI,3,556,-1.762609384,NA,0.652267532,NA
PHVI,2,614,-0.940591907,-1.83E-05,NA,NA
PIGR,4,1656,-1.280100832,-0.000302209,-0.680068621,NA
PIJA,2,2929,-1.083173663,0.000101144,NA,NA
PISI,2,20887,-1.665676337,-7.43E-05,NA,NA
PIWA,2,4237,-1.138966671,-1.95E-06,NA,NA
PIWO,1,4250,-2.249045463,NA,NA,NA
PLVI,1,4988,-0.852403168,NA,NA,NA
PRAW,2,204,-0.596339816,0.011390886,NA,NA
PRFA,1,179,-1.542820554,NA,NA,NA
PROW,1,581,-0.898880419,NA,NA,NA
PSJU,1,426,-0.993417612,NA,NA,NA
PUFI,1,1285,-2.275482461,NA,NA,NA
PUMA,4,914,-0.487617287,2.57E-06,-1.15150681,NA
PYNU,1,2797,-1.280389244,NA,NA,NA
PYRR,1,230,-0.975921411,NA,NA,NA
RBGR,3,10705,-1.579828016,NA,0.243710337,NA
RBGU,2,422,-1.89819356,0.000218862,NA,NA
RBJU,2,100,-0.998287986,-0.000443958,NA,NA
RBNU,4,26304,-1.193392967,-6.33E-06,-0.317399919,NA
